,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0,-2.26,0.24,0.64,-1.74,0.16,1.52,0.71,1.8,-1.77,-0.55,-1.58,0.32,-1.68,-6.58,1.13,0.78,-0.94,1.29,0.26,0.09,-2.8,0.17,0.44,-3.12,0.45,-2.67,-9.98,0.41,-4.56,2.33,-0.52,3.23,-1.01,0.61,1.83,-3.49,1.55,-3.05,-0.1,0.42,1.57,0.21,-3.39,6.8,-2.09,-0.81,-0.1,-1.85,-0.84,4.0,1.62,1.7,-0.69,-0.89,-0.6,0.0,0.2,-2.3,-3.69,-1.06,-0.43,2.48,-2.1,1.83,0.0,-0.63,0.32,-1.8,0.97,-1.5,1.63,0.53,-1.27,1.4,0.53,1.38,-0.84,-0.84,-1.7,0.0,0.22,0.76,-1.39,0.11
1,-2.18,-0.99,1.47,-0.98,-0.21,0.1,1.36,-0.36,-0.67,-1.82,0.37,-2.22,0.0,-4.05,1.47,0.78,0.06,1.24,-0.57,-2.05,0.0,-1.26,0.0,-2.71,-1.66,-5.58,-9.95,0.83,-6.1,2.31,0.21,2.9,0.73,-1.76,5.7,-0.1,9.99,2.27,-3.91,4.07,-0.35,-2.14,-5.74,2.42,-1.04,1.72,-0.56,-1.23,1.43,1.03,4.47,0.62,-0.44,-0.8,0.36,-1.52,-3.36,-1.5,-4.77,-1.6,-3.87,2.65,-1.75,3.57,1.62,0.4,-0.69,-1.9,1.02,-1.31,0.1,1.94,0.7,-0.8,-1.6,2.14,1.9,-0.59,-2.46,-0.1,0.71,4.02,-1.74,7.86
2,0.46,-2.51,-0.7,-1.88,-0.6,1.21,-0.24,0.84,-1.07,0.36,0.95,-3.43,0.12,5.62,-1.74,-1.53,-1.91,0.61,0.97,-0.24,-2.29,1.48,-0.61,-0.49,-0.12,-5.16,-6.22,-1.66,-1.69,0.86,-1.56,-1.44,0.15,-1.9,1.63,-2.05,1.04,5.91,-3.07,0.58,0.43,-0.71,-1.86,0.73,-0.43,0.0,0.0,-0.88,-1.91,1.05,1.04,1.76,1.3,-0.71,-1.29,0.44,1.01,-2.44,-3.67,-0.92,-1.54,1.72,3.07,-0.15,0.0,1.19,-2.36,-2.27,-1.08,-0.47,0.63,1.09,-0.77,-0.16,0.0,1.25,0.61,-1.38,-0.93,0.0,-0.47,1.1,-1.55,2.21
3,-3.53,-5.14,9.99,5.89,0.79,1.14,0.12,9.99,2.15,-5.26,-2.33,-7.62,2.34,-5.66,4.59,-1.22,-3.83,4.04,1.85,-3.03,0.56,-6.52,1.59,-4.84,-2.75,-7.35,-6.25,2.52,5.32,2.94,-2.71,1.66,0.74,-4.41,3.84,-1.63,10.01,5.47,-8.24,2.76,1.31,2.65,-3.97,1.24,-1.84,1.04,-0.89,-4.57,-5.73,1.31,4.1,1.09,-1.15,-2.41,0.15,1.72,-1.98,-3.0,-5.87,-3.86,-5.8,3.17,-2.46,2.43,2.81,1.71,2.35,2.63,-5.04,-3.62,-0.52,1.58,-0.09,0.26,-2.5,3.81,-0.51,3.6,-3.89,-3.19,5.07,2.62,-3.05,2.13
4,-0.62,-2.26,2.31,0.56,-0.83,0.8,2.29,2.68,-1.88,1.11,-1.06,3.68,-4.7,-10.02,1.83,-3.01,-1.42,5.69,0.68,-1.56,1.21,-1.25,-1.27,-3.85,0.44,-5.42,-10.0,2.47,-4.18,3.83,1.47,2.89,-0.92,-2.65,3.29,-2.51,6.72,-4.6,-4.26,1.29,3.76,3.93,-1.95,4.22,-0.64,-0.64,-0.59,-1.83,0.42,1.49,-3.83,1.84,-0.3,-2.29,-0.18,-1.85,0.63,-2.69,-3.21,-2.26,-4.14,3.05,-3.03,3.26,2.88,-0.33,1.2,-2.91,-1.29,-0.55,0.28,-0.41,-2.63,1.0,-0.85,2.06,0.7,0.9,-1.72,-0.91,1.27,1.18,-2.13,0.63
5,-0.72,-2.32,1.59,-2.19,1.15,-1.13,1.0,-0.4,-2.33,-1.83,-1.45,-0.1,-0.21,-4.95,0.89,-0.88,0.44,2.54,0.27,-2.04,-2.79,-0.45,0.0,-1.24,-0.17,-0.12,-9.99,-0.19,-6.01,1.02,-0.14,3.84,-0.91,-0.59,4.42,-3.16,3.39,-2.58,-1.04,1.05,1.88,-0.57,-8.82,3.15,0.61,1.28,1.27,-1.91,-1.48,2.79,2.39,1.49,-0.32,0.19,-3.83,-2.39,0.07,-2.52,-4.95,-1.54,-2.31,3.97,-1.1,4.67,0.85,1.9,-1.24,-2.93,1.08,-2.28,9.98,3.11,-4.5,0.94,0.73,4.1,-1.27,0.06,-4.89,-0.27,1.15,3.08,-0.46,2.55
6,-4.44,1.69,-0.88,1.57,-0.47,-0.88,0.63,1.14,3.08,-1.35,-2.78,9.98,10.02,-5.5,10.01,-2.44,-7.63,0.64,7.57,-4.58,-1.64,10.02,0.04,-2.09,-4.23,-10.02,-10.02,-0.76,-9.96,-1.09,0.06,2.26,3.52,-4.73,2.91,-1.35,2.86,-4.12,-5.26,-0.45,2.31,4.58,-2.46,2.46,-1.02,-0.79,1.04,1.03,-4.79,1.51,0.81,2.15,0.36,0.48,-1.31,-1.69,0.61,-0.12,-6.12,-3.58,-4.73,1.42,-3.85,2.69,1.49,0.14,1.46,-2.2,-2.18,2.08,-4.29,-0.51,-1.33,1.27,-0.15,1.55,-0.07,-0.36,-2.63,-3.68,3.04,0.23,-0.53,0.53
7,-2.08,-3.41,2.2,-2.52,0.29,0.67,1.24,0.94,-1.3,-1.22,-2.86,-0.39,-0.3,-3.95,0.62,-2.25,0.31,2.92,-0.1,-1.52,-1.24,-0.73,-1.05,-3.08,0.44,-3.38,-9.93,1.88,-5.04,3.24,-0.63,3.54,-0.49,-1.23,4.96,-0.47,3.56,-3.1,-2.6,1.58,2.87,0.12,-4.3,4.0,0.0,0.0,0.58,0.23,0.69,1.84,0.45,1.57,-0.44,-2.03,-0.64,-2.57,-0.99,-2.67,-1.03,-1.04,-2.62,4.31,-1.89,6.84,2.13,2.57,-1.25,-1.75,0.32,-2.74,3.97,3.02,-2.63,0.95,-1.26,1.91,0.47,0.47,-3.41,-0.96,0.16,2.58,-1.26,0.64
8,-1.2,2.0,-1.01,0.24,0.3,-0.48,-0.24,-1.8,0.86,-0.97,-0.06,0.68,-0.3,0.06,0.18,0.3,-0.49,2.5,-1.67,-0.67,-0.12,0.67,0.18,1.33,-0.42,2.34,-0.88,-1.18,-1.08,0.3,-1.03,1.65,-0.72,1.51,-1.73,-0.3,0.3,-3.75,-2.45,-0.77,-2.15,0.86,0.4,-1.11,-0.27,-0.86,-0.2,0.0,-0.87,-0.68,-4.78,-9.97,-1.99,-2.85,0.84,-1.58,6.75,7.35,7.06,-9.97,-4.35,-2.15,0.65,-0.65,1.3,-2.74,-2.15,-0.93,1.11,-2.79,-2.35,-3.47,-0.83,2.42,-1.09,2.2,2.6,4.99,-2.08,-1.45,1.47,-0.17,-4.09,1.51
9,-2.01,-0.26,2.23,-1.09,-0.42,0.34,1.1,0.84,-1.75,-1.61,-2.15,-1.76,-0.27,-6.02,1.34,-1.13,2.48,1.77,0.09,-1.46,-1.3,-4.1,2.13,-4.7,1.46,-2.16,-7.55,3.39,-3.08,3.38,-0.96,0.39,-0.39,-0.19,6.03,-1.83,2.43,-2.37,-2.99,0.19,1.15,0.38,-3.79,10.04,-0.89,0.36,0.54,0.18,-2.5,1.1,1.99,3.2,-0.69,0.52,-1.9,-0.53,-0.53,-1.07,-3.41,-0.56,-0.19,2.43,-0.55,5.15,-0.17,0.17,-1.4,-2.48,-1.46,-0.55,0.74,0.37,-0.73,0.18,-0.18,1.66,0.55,-3.07,-0.19,-2.06,1.53,0.19,-1.88,1.53
